Iteration Residual
0 3.74395
1 1.74984
2 0.741734
3 0.301908
4 0.132958
5 0.0604969
6 0.0262844
7 0.0114266
8 0.00531881
9 0.00251491
10 0.00112538
11 0.000493002
12 0.00022892
13 0.000107952
14 4.88877e-05
15 2.24371e-05
16 1.06313e-05
17 4.94251e-06
18 2.29072e-06
19 1.07219e-06
20 4.9493e-07
