Iteration Residual
0 5.28769
1 3.3739
2 2.03375
3 1.20286
4 0.743066
5 0.469918
6 0.289916
7 0.176841
8 0.111829
9 0.0727262
10 0.0460839
11 0.028177
12 0.0174795
13 0.0112456
14 0.0071989
15 0.00454141
16 0.00290524
17 0.0018731
18 0.00119428
19 0.000761006
20 0.000485997
21 0.000310322
22 0.000201751
23 0.000131509
24 8.32053e-05
25 5.29244e-05
26 3.49775e-05
27 2.26629e-05
28 1.41657e-05
29 9.14203e-06
30 6.02231e-06
31 3.81597e-06
32 2.44304e-06
33 1.63837e-06
34 1.06093e-06
35 6.61727e-07
