Iterations "SOR (1.0)" "SOR (1.1)" "SOR (1.2)" "SOR (1.3)" "SOR (1.4)" "SOR (1.5)" "SOR (1.6)" "SOR (1.7)" "SOR (1.8)" "SOR (1.9)" "SOR (2.0)"
8 0.025          
10  0.03         
13   0.041        
16    0.05       
21     0.063      
27      0.08     
36       0.107    
50        0.154   
80         0.239  
168          0.5 
10000           30
