Iteration Residual
0 4.50601
1 2.4858
2 1.27583
3 0.63534
4 0.33464
5 0.181899
6 0.095709
7 0.0497855
8 0.0272094
9 0.0153223
10 0.00830978
11 0.00434335
12 0.00234364
13 0.00131332
14 0.000720089
15 0.000390072
16 0.000217195
17 0.000121238
18 6.67562e-05
19 3.69897e-05
20 2.04214e-05
21 1.12745e-05
22 6.38851e-06
23 3.56953e-06
24 1.92784e-06
25 1.08032e-06
26 6.20771e-07
