Iteration Residual
0 6.88723
1 5.63161
2 4.43012
3 3.47855
4 2.81538
5 2.29699
6 1.8399
7 1.46723
8 1.19747
9 0.990987
10 0.804312
11 0.636966
12 0.507483
13 0.414036
14 0.339402
15 0.276188
16 0.224957
17 0.183249
18 0.148013
19 0.119052
20 0.096195
21 0.0783373
22 0.0644048
23 0.052911
24 0.0428547
25 0.0347694
26 0.0288501
27 0.0238526
28 0.0191394
29 0.015304
30 0.0125133
31 0.0102162
32 0.00829016
33 0.00686703
34 0.00568646
35 0.00455707
36 0.00367203
37 0.00309307
38 0.00258377
39 0.00206625
40 0.00166388
41 0.00139168
42 0.00114654
43 0.000915483
44 0.00075032
45 0.000637145
46 0.000527243
47 0.000421808
48 0.000344826
49 0.000289789
50 0.000238538
51 0.000193837
52 0.000161841
53 0.000134646
54 0.000107839
55 8.81343e-05
56 7.60549e-05
57 6.36552e-05
58 5.02968e-05
59 4.11652e-05
60 3.54936e-05
61 2.92503e-05
62 2.31846e-05
63 1.92601e-05
64 1.62337e-05
65 1.3109e-05
66 1.07805e-05
67 9.18759e-06
68 7.44857e-06
69 5.89231e-06
70 5.05197e-06
71 4.34205e-06
72 3.42213e-06
73 2.74888e-06
74 2.43038e-06
75 2.04452e-06
76 1.57974e-06
77 1.30597e-06
78 1.15937e-06
79 9.48976e-07
